INDEX,YEAR,MONTH,DAY-OF-WEEK,DAY-OF-MONTH,DAY-OF-YEAR,AGE-OF-RECORD,IS-WEEKEND-DAY,BANK-HOLIDAY,CPI-INDEX,WEATHER-SUMMARY,WEATHER-HUMIDITY,WEATHER-TEMPERATURE-HIGH,WEATHER-TEMPERATURE-LOW,FUEL-INDEX,UNEMPLOYMENT-INDEX,FOOD-SALES,LIQUOR-SALES
2016-07-19,2016,07,Tue,19,200,1468886400,0,no-bh,100.9,clear-day,0.63,31.42,21.88,322,5,0,0
2016-07-20,2016,07,Wed,20,201,1468972800,0,no-bh,100.9,wind,0.65,28.83,14.16,322,5,10.79,0
2016-07-21,2016,07,Thu,21,202,1469059200,0,no-bh,100.9,partly-cloudy-day,0.69,23.85,17.36,322,5,11.58,4.13
2016-07-23,2016,07,Sat,23,204,1469232000,1,no-bh,100.9,clear-day,0.69,26.83,14.52,322,5,0,0
2016-07-24,2016,07,Sun,24,205,1469318400,1,no-bh,100.9,partly-cloudy-day,0.76,23.19,14.28,322,5,1386.21,669.42
2016-07-26,2016,07,Tue,26,207,1469491200,0,no-bh,100.9,partly-cloudy-day,0.7,21.11,16.71,322,5,743.47,1108
2016-07-27,2016,07,Wed,27,208,1469577600,0,no-bh,100.9,partly-cloudy-day,0.79,23.11,14.21,322,5,0,24.96
2016-07-28,2016,07,Thu,28,209,1469664000,0,no-bh,100.9,partly-cloudy-day,0.74,20.99,16.1,322,5,1994.47,817.63
2016-07-29,2016,07,Fri,29,210,1469750400,1,no-bh,100.9,partly-cloudy-day,0.8,21.17,15.41,322,5,1362.38,4679.75
2016-07-30,2016,07,Sat,30,211,1469836800,1,no-bh,100.9,partly-cloudy-day,0.71,21.03,13.08,322,5,749.58,2569.87
2016-07-31,2016,07,Sun,31,212,1469923200,1,no-bh,100.9,partly-cloudy-day,0.62,20.76,12.19,322,5,654.75,903.88
2016-08-01,2016,08,Mon,01,213,1470009600,0,no-bh,101.2,partly-cloudy-day,0.76,17.98,13.87,321.7,4.8,346.17,459.54
2016-08-02,2016,08,Tue,02,214,1470096000,0,no-bh,101.2,cloudy,0.93,20.45,18.21,321.7,4.8,430.67,900.71
2016-08-03,2016,08,Wed,03,215,1470182400,0,no-bh,101.2,wind,0.75,22.22,14.97,321.7,4.8,383.13,948.92
2016-08-04,2016,08,Thu,04,216,1470268800,0,no-bh,101.2,partly-cloudy-day,0.71,20.8,12.7,321.7,4.8,662.79,1496.46
2016-08-05,2016,08,Fri,05,217,1470355200,1,no-bh,101.2,partly-cloudy-day,0.71,22.67,12.66,321.7,4.8,1380.04,6714
2016-08-06,2016,08,Sat,06,218,1470441600,1,no-bh,101.2,clear-day,0.67,24.59,17.11,321.7,4.8,746.33,1002.58
2016-08-07,2016,08,Sun,07,219,1470528000,1,no-bh,101.2,wind,0.73,24.59,14.6,321.7,4.8,474.67,936.38
2016-08-08,2016,08,Mon,08,220,1470614400,0,no-bh,101.2,partly-cloudy-day,0.61,19.91,10.36,321.7,4.8,271.88,769.5
2016-08-09,2016,08,Tue,09,221,1470700800,0,no-bh,101.2,partly-cloudy-day,0.6,18.88,10.38,321.7,4.8,697.79,1027.88
2016-08-10,2016,08,Wed,10,222,1470787200,0,no-bh,101.2,partly-cloudy-day,0.65,19.08,14.36,321.7,4.8,529.79,998.54
2016-08-11,2016,08,Thu,11,223,1470873600,0,no-bh,101.2,partly-cloudy-day,0.72,21.94,13.99,321.7,4.8,513.92,1949.79
2016-08-12,2016,08,Fri,12,224,1470960000,1,no-bh,101.2,partly-cloudy-day,0.7,25.79,14.44,321.7,4.8,713.25,2448.25
2016-08-13,2016,08,Sat,13,225,1471046400,1,no-bh,101.2,partly-cloudy-day,0.7,23.84,15.06,321.7,4.8,578.38,1063.42
2016-08-14,2016,08,Sun,14,226,1471132800,1,no-bh,101.2,partly-cloudy-day,0.59,21.8,11.17,321.7,4.8,506.42,716.5
2016-08-15,2016,08,Mon,15,227,1471219200,0,no-bh,101.2,partly-cloudy-day,0.69,22.68,11.29,321.7,4.8,442.92,832.25
2016-08-16,2016,08,Tue,16,228,1471305600,0,no-bh,101.2,partly-cloudy-day,0.72,22.89,12.14,321.7,4.8,316.13,445.46
2016-08-17,2016,08,Wed,17,229,1471392000,0,no-bh,101.2,partly-cloudy-day,0.69,24.67,14.81,321.7,4.8,411.67,797.25
